PID	PLOTKEY	TREE_ID	TREE_SPECIES	TREE_SPECIES_LUMP	code	DIAM_CLASS_4_11	DIAM_CLASS_12_23	DIAM_CLASS_24_35	DIAM_CLASS_36_	TOTAL	height	genus	species	var_subsp	lifeform	source	table	code_match	name	num_matches
78	65B411	149	B	B	B	6	0	0	0	6	30	quercus	kelloggii		t	3	TREE_TALLY	matched	Quercus kelloggii 	1
78	65B411	150	M2	M2	M2	1	0	0	0	1	20	acer	macrophyllum		t	3	TREE_TALLY	matched	Acer macrophyllum 	2
81	65B53	151	D	D	D	9	1	0	0	10	30	pseudotsuga	taxifolia		t	3	TREE_TALLY	matched	Pseudotsuga taxifolia 	2
81	65B53	152	V	V	V	1	0	0	0	1	30	quercus	lobata		t	3	TREE_TALLY	matched	Quercus lobata 	1
81	65B53	153	W	W	W	1	0	0	0	1	25	quercus	wislizenii		t	3	TREE_TALLY	matched	Quercus wislizenii 	2
83	65B55	154	D	D	D	17	2	0	0	19	25	pseudotsuga	taxifolia		t	3	TREE_TALLY	matched	Pseudotsuga taxifolia 	2
84	65B56	156	B	B	B	8	1	0	0	9	30	quercus	kelloggii		t	3	TREE_TALLY	matched	Quercus kelloggii 	1
84	65B56	155	W	W	W	4	1	0	0	5	25	quercus	wislizenii		t	3	TREE_TALLY	matched	Quercus wislizenii 	2
84	65B56	160	D	D	D	4	0	0	0	4	30	pseudotsuga	taxifolia		t	3	TREE_TALLY	matched	Pseudotsuga taxifolia 	2
84	65B56	157	A	A	A	2	0	0	0	2	25	quercus	agrifolia		t	3	TREE_TALLY	matched	Quercus agrifolia 	1
84	65B56	158	V	V	V	2	0	0	0	2	30	quercus	lobata		t	3	TREE_TALLY	matched	Quercus lobata 	1
84	65B56	159	H	H	H	1	0	0	0	1	20	tsuga	heterophylla		t	3	TREE_TALLY	matched	Tsuga heterophylla 	2
85	65B57	161	D	D	D	20	0	0	0	20	25	pseudotsuga	taxifolia		t	3	TREE_TALLY	matched	Pseudotsuga taxifolia 	2
85	65B57	162	A	A	A	1	0	0	0	1	20	quercus	agrifolia		t	3	TREE_TALLY	matched	Quercus agrifolia 	1
86	65B58	164	D	D	D	6	0	0	0	6	30	pseudotsuga	taxifolia		t	3	TREE_TALLY	matched	Pseudotsuga taxifolia 	2
86	65B58	163	V	V	V	6	0	0	0	6	30	quercus	lobata		t	3	TREE_TALLY	matched	Quercus lobata 	1
86	65B58	165	A	A	A	4	0	0	0	4	30	quercus	agrifolia		t	3	TREE_TALLY	matched	Quercus agrifolia 	1
86	65B58	166	B	B	B	4	0	0	0	4	30	quercus	kelloggii		t	3	TREE_TALLY	matched	Quercus kelloggii 	1
86	65B58	167	W	W	W	2	0	0	0	2	25	quercus	wislizenii		t	3	TREE_TALLY	matched	Quercus wislizenii 	2
86	65B58	169	H	H	H	1	0	0	0	1	15	tsuga	heterophylla		t	3	TREE_TALLY	matched	Tsuga heterophylla 	2
86	65B58	168	L	L	L	1	0	0	0	1	20	pinus	contorta	murrayana	t	3	TREE_TALLY	matched	Pinus contorta murrayana	2
87	65B59	170	A	A	A	50	0	0	0	50	20	quercus	agrifolia		t	3	TREE_TALLY	matched	Quercus agrifolia 	1
87	65B59	172	B	B	B	17	0	0	0	17	15	quercus	kelloggii		t	3	TREE_TALLY	matched	Quercus kelloggii 	1
87	65B59	171	L	L	L	6	0	0	0	6	15	pinus	contorta	murrayana	t	3	TREE_TALLY	matched	Pinus contorta murrayana	2
